Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:05:46.262,air1_far_short,Track Master 100,9.990001s,961,338,0.351717,3.379997,9.610125,0.351712,0,25
2,00:05:57.826,air1F_close_long,Track Master 100,11.295000s,1085,363,0.334562,3.629997,10.850153,0.334557,0,25
3,00:06:09.389,air1F_close_short 7,Track Master 100,11.298000s,1085,391,0.360369,3.909997,10.850153,0.360363,0,25
4,00:06:20.960,air_close_short,Track Master 100,11.301001s,1086,469,0.431860,4.690012,10.860153,0.431855,0,25
5,00:06:32.267,air1F_far_short,Track Master 100,11.299001s,1085,215,0.198157,2.149998,10.850153,0.198154,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5302,1776,17.760311,53.017109,

Kills:,5
Deaths:,0
Fight Time:,55.182999
Time Remaining:,0.0
Avg TTK:,11.718751
Damage Done:,17.760311
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,1776
Miss Count:,3526
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,1776.031128
Scenario:,VT Air Intermediate
Hash:,6c8a32e397f020abbfa5cc2b07879fab
Game Version:,3.6.0.2024-09-03-20-01-54-cb47c9aa95
Challenge Start:,00:05:36.002
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,195.181274
Resolution Scale:,100.0
