Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,19:24:33.689,air1_far_short,Track Master 100,9.988001s,961,208,0.216441,2.079998,9.610125,0.216438,0,25
2,19:24:45.257,air1F_close_long,Track Master 100,11.300000s,1085,178,0.164055,1.779999,10.850153,0.164053,0,26
3,19:24:56.822,air1F_close_short 7,Track Master 100,11.292001s,1085,168,0.154839,1.679999,10.850153,0.154836,0,25
4,19:25:08.488,air_close_short,Track Master 100,11.395000s,1095,150,0.136986,1.499999,10.950155,0.136984,0,25
5,19:25:19.896,air1F_far_short,Track Master 100,11.396001s,1095,141,0.128767,1.409999,10.950155,0.128765,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5321,845,8.450098,53.207077,

Kills:,5
Deaths:,0
Fight Time:,55.370998
Time Remaining:,0.0
Avg TTK:,11.762198
Damage Done:,8.450098
Total Overshots:,101
Damage Taken:,0.0
Hit Count:,845
Miss Count:,4476
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,845.009827
Scenario:,VT Air Intermediate Small
Hash:,e01c114a631af359f9c5a8eb9004ee6c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,19:24:23.428
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,204.654633
Resolution Scale:,100.0
