Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:59:53.301,air1_far_long,Track Master 100,16.079000s,1610,1000,0.621118,1000.000000,1610.000000,0.621118,0,25
2,03:00:26.143,air1_far_short,Track Master 100,32.584003s,3259,1000,0.306843,1000.000000,3259.000000,0.306843,0,25
3,03:00:55.030,air1F_close_long,Track Master 100,28.630001s,2864,1000,0.349162,1000.000000,2864.000000,0.349162,0,25
4,03:01:30.083,air1F_close_short 7,Track Master 100,34.791000s,3480,1000,0.287356,1000.000000,3480.000000,0.287356,0,25
5,03:01:59.501,air1F_far_long,Track Master 100,29.160002s,2917,1000,0.342818,1000.000000,2917.000000,0.342818,0,25
6,03:02:24.819,air_close_short,Track Master 100,25.064001s,2507,1000,0.398883,1000.000000,2507.000000,0.398883,0,25
7,03:03:06.168,air1F_far_short,Track Master 100,41.338001s,4135,1000,0.241838,1000.000000,4135.000000,0.241838,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,20772,7000,7000.0,20772.0,

Kills:,7
Deaths:,0
Fight Time:,207.645996
Time Remaining:,0.0
Avg TTK:,29.886225
Damage Done:,7000.0
Total Overshots:,150
Damage Taken:,0.0
Hit Count:,7000
Miss Count:,13772
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,790.794312
Scenario:,Air Voltaic Easy
Hash:,95b1afb8273c129c99c75cce6a2ca5a7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,02:59:36.962
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,198.63707
Resolution Scale:,100.0
