Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:56:49.666,air1_mixed_short_dash,LG,38.741001s,3876,1200,0.309598,1200.000000,3876.000000,0.309598,0,25
2,02:57:23.013,air_close_short,LG,33.081001s,3310,1200,0.362538,1200.000000,3310.000000,0.362538,0,25
3,02:57:59.962,air1_far_short,LG,36.687000s,3670,1200,0.326975,1200.000000,3670.000000,0.326975,0,25
4,02:58:42.382,air1F_close_short,LG,42.160004s,4217,1200,0.284562,1200.000000,4217.000000,0.284562,0,25
5,02:59:19.001,air1F_far_short,LG,36.611000s,3662,1200,0.327690,1200.000000,3662.000000,0.327690,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,18735,6000,6000.0,18735.0,

Kills:,5
Deaths:,0
Fight Time:,187.279999
Time Remaining:,0.0
Avg TTK:,37.660458
Damage Done:,6000.0
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,6000
Miss Count:,12735
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,811.663086
Scenario:,Ground Plaza Voltaic Easy
Hash:,37f76fdaf6386692f35e76a90b4a5121
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,02:56:10.665
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,231.595932
Resolution Scale:,100.0
