Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:41:27.135,air1_mixed_short_dash,LG,11.992001s,1201,352,0.293089,3.519997,12.010180,0.293084,0,25
2,23:41:41.235,air_close_short,LG,13.844001s,1385,499,0.360289,4.990019,13.850222,0.360284,0,25
3,23:41:55.335,air1_far_short,LG,13.845000s,1385,505,0.364621,5.050021,13.850222,0.364617,0,25
4,23:42:09.436,air1F_close_short,LG,13.845000s,1385,387,0.279422,3.869997,13.850222,0.279418,0,25
5,23:42:23.287,air1F_far_short,LG,13.846001s,1385,410,0.296029,4.099999,13.850222,0.296024,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
LG,6741,2153,21.530397,67.405991,

Kills:,5
Deaths:,0
Fight Time:,67.372002
Time Remaining:,0.0
Avg TTK:,13.7
Damage Done:,21.530397
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2153
Miss Count:,4588
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2153.039795
Scenario:,VT Plaza Intermediate
Hash:,6f7f7473046a0fe6dfc8c1ce151e2a71
Game Version:,3.6.0.2024-09-03-20-01-54-cb47c9aa95
Challenge Start:,23:41:14.885
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,228.580643
Resolution Scale:,100.0
