Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:05:45.536,Quaker Bot,LG,4.859000s,103,34,0.330097,204.000000,618.000000,0.330097,0,0
2,12:05:51.799,Quaker Bot,LG,5.960001s,130,34,0.261538,204.000000,780.000000,0.261538,0,5
3,12:05:57.436,Quaker Bot,LG,5.382000s,116,34,0.293103,204.000000,696.000000,0.293103,0,5
4,12:06:03.503,Quaker Bot,LG,5.879000s,128,34,0.265625,204.000000,768.000000,0.265625,0,3
5,12:06:09.871,Quaker Bot,LG,6.082000s,131,34,0.259542,204.000000,786.000000,0.259542,0,5
6,12:06:15.431,Quaker Bot,LG,5.287000s,116,34,0.293103,204.000000,696.000000,0.293103,0,5
7,12:06:23.360,Quaker Bot,LG,7.618001s,146,34,0.232877,204.000000,876.000000,0.232877,0,5
8,12:06:29.203,Quaker Bot,LG,5.569000s,122,34,0.278689,204.000000,732.000000,0.278689,0,5
9,12:06:37.249,Quaker Bot,LG,7.775001s,170,34,0.200000,204.000000,1020.000000,0.200000,0,5
10,12:06:43.873,Quaker Bot,LG,6.348001s,139,34,0.244604,204.000000,834.000000,0.244604,0,5
11,12:06:50.551,Quaker Bot,LG,6.405000s,140,34,0.242857,204.000000,840.000000,0.242857,0,5
12,12:06:57.136,Quaker Bot,LG,6.310000s,138,34,0.246377,204.000000,828.000000,0.246377,0,5
13,12:07:04.453,Quaker Bot,LG,7.038000s,154,34,0.220779,204.000000,924.000000,0.220779,0,5
14,12:07:11.165,Quaker Bot,LG,6.437000s,141,34,0.241135,204.000000,846.000000,0.241135,0,5
15,12:07:17.010,Quaker Bot,LG,5.563000s,122,34,0.278689,204.000000,732.000000,0.278689,0,5
16,12:07:22.667,Quaker Bot,LG,5.380000s,118,34,0.288136,204.000000,708.000000,0.288136,0,5
17,12:07:30.723,Quaker Bot,LG,7.780000s,170,34,0.200000,204.000000,1020.000000,0.200000,0,5
18,12:07:36.889,Quaker Bot,LG,5.890000s,129,34,0.263566,204.000000,774.000000,0.263566,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2494,632,3792.0,14964.0,

Kills:,18
Deaths:,0
Fight Time:,111.561996
Time Remaining:,0.0
Avg TTK:,6.666597
Damage Done:,3792.0
Total Overshots:,83
Damage Taken:,0.0
Hit Count:,632
Miss Count:,1862
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,98679.90625
MBS Points:,9251.960938
Score:,20627.960938
Scenario:,lgc3 Reborn Easy
Hash:,dc7890664488d19cd468af320c5dc749
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:05:40.636
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,241.628067
Resolution Scale:,100.0
