Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,11:42:07.302,air1_close_long,LG,15.522000s,1510,553,0.366225,721.111938,1969.011108,0.366231,0,25
2,11:42:21.670,air1_close_long,LG,14.104001s,1253,553,0.441341,721.111938,1633.894653,0.441345,0,25
3,11:42:40.294,air1_close_long,LG,18.364000s,1534,553,0.360495,721.111938,2000.306030,0.360501,0,25
4,11:42:59.358,air1_close_long,LG,18.803001s,1681,553,0.328971,721.111938,2191.987549,0.328976,0,25
5,11:43:18.026,air1_close_long,LG,18.412001s,1623,553,0.340727,721.111938,2116.358154,0.340732,0,25
6,11:43:35.727,air1_close_long,LG,17.443001s,1449,553,0.381643,721.111938,1889.469849,0.381648,0,25
7,11:43:52.766,air1_close_long,LG,16.776001s,1432,553,0.386173,721.111938,1867.302612,0.386178,0,25
8,11:44:12.173,air1_close_long,LG,19.402000s,1797,553,0.307735,721.111938,2343.246338,0.307741,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,12279,4424,5769.049316,16010.605469,

Kills:,8
Deaths:,0
Fight Time:,138.826996
Time Remaining:,0.0
Avg TTK:,17.624926
Damage Done:,5769.049316
Total Overshots:,175
Damage Taken:,0.0
Hit Count:,4424
Miss Count:,7855
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5769.049316
Scenario:,gp close long strafes 5m
Hash:,8c546755ff6398a171788320ba0b69d1
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:41:51.079
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,198.161804
Resolution Scale:,100.0
