Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:54:37.478,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,22:54:40.336,Mid,b180 pistol,2.513000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
3,22:54:42.370,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,22:54:43.681,High,b180 pistol,0.627000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
5,22:54:44.968,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,22:54:45.519,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,22:54:46.236,Low,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,22:54:48.263,Mid,b180 pistol,1.255000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
9,22:54:49.640,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,22:54:50.970,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,22:54:52.217,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,22:54:53.138,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,22:54:55.546,Mid,b180 pistol,1.801000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
14,22:54:55.991,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,22:54:56.734,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,22:54:57.372,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,22:54:59.393,Mid,b180 pistol,1.319000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
18,22:55:00.027,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,22:55:01.125,Low,b180 pistol,0.521000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
20,22:55:02.636,Mid,b180 pistol,0.384000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
21,22:55:03.649,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,22:55:05.038,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
23,22:55:06.153,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,22:55:07.527,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
25,22:55:08.049,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,22:55:08.895,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,22:55:10.052,Low,b180 pistol,0.587000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
28,22:55:10.703,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
29,22:55:17.829,High,b180 pistol,5.727000s,6,1,0.166667,50.000000,750.000000,0.066667,0,0
30,22:55:18.970,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
31,22:55:20.178,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
32,22:55:21.395,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
33,22:55:22.613,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
34,22:55:24.270,Mid,b180 pistol,1.349000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
35,22:55:24.819,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
36,22:55:26.208,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
37,22:55:27.607,Low,b180 pistol,0.945000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
38,22:55:28.246,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
39,22:55:28.968,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
40,22:55:33.021,Low,b180 pistol,2.939000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
41,22:55:33.526,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
42,22:55:34.589,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
43,22:55:35.134,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,64,43,2150.0,8000.0,

Kills:,43
Deaths:,0
Fight Time:,19.969999
Time Remaining:,0.0
Avg TTK:,1.641576
Damage Done:,2150.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,43
Miss Count:,21
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,0.0
MBS Points:,0.0
Score:,43.0
Scenario:,B180 Voltaic Intermediate Barriers
Hash:,c81d7fc5d661e76cc15847c2a06aac53
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:54:36.279
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,236.668777
Resolution Scale:,100.0
