Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:06:12.740,consecutive_dot_L,Track Master 100,0.798000s,81,25,0.308642,1.000000,3.239998,0.308642,0,25
2,00:06:14.011,consecutive_dot_L2,Track Master 100,1.010000s,102,25,0.245098,1.000000,4.079998,0.245098,0,25
3,00:06:15.151,consecutive_dot_R2,Track Master 100,0.883000s,89,25,0.280899,1.000000,3.559998,0.280899,0,25
4,00:06:16.834,consecutive_dot_R,Track Master 100,1.424000s,143,25,0.174825,1.000000,5.719996,0.174825,0,25
5,00:06:18.503,consecutive_dot_L,Track Master 100,1.410000s,142,25,0.176056,1.000000,5.679996,0.176056,0,25
6,00:06:19.731,consecutive_dot_L2,Track Master 100,0.973000s,98,25,0.255102,1.000000,3.919997,0.255102,0,25
7,00:06:21.210,consecutive_dot_R2,Track Master 100,1.223000s,123,25,0.203252,1.000000,4.919997,0.203252,0,25
8,00:06:21.919,consecutive_dot_R,Track Master 100,0.452000s,46,25,0.543478,1.000000,1.839999,0.543479,0,25
9,00:06:23.355,consecutive_dot_L,Track Master 100,1.389000s,140,25,0.178571,1.000000,5.599996,0.178572,0,3
10,00:06:24.380,consecutive_dot_L2,Track Master 100,0.770000s,78,25,0.320513,1.000000,3.119998,0.320513,0,25
11,00:06:25.800,consecutive_dot_R2,Track Master 100,1.158000s,117,25,0.213675,1.000000,4.679997,0.213675,0,25
12,00:06:26.680,consecutive_dot_R,Track Master 100,0.616000s,63,25,0.396825,1.000000,2.519999,0.396826,0,25
13,00:06:29.609,consecutive_dot_L,Track Master 100,2.668000s,268,25,0.093284,1.000000,10.719992,0.093284,0,25
14,00:06:34.440,consecutive_dot_L2,Track Master 100,4.571000s,458,25,0.054585,1.000000,18.320040,0.054585,0,25
15,00:06:36.480,consecutive_dot_R2,Track Master 100,1.777000s,179,25,0.139665,1.000000,7.159995,0.139665,0,25
16,00:06:37.901,consecutive_dot_R,Track Master 100,1.159000s,117,25,0.213675,1.000000,4.679997,0.213675,0,25
17,00:06:39.357,consecutive_dot_L,Track Master 100,1.305000s,131,25,0.190840,1.000000,5.239996,0.190840,0,14
18,00:06:40.143,consecutive_dot_L2,Track Master 100,0.532000s,54,25,0.462963,1.000000,2.159999,0.462963,0,25
19,00:06:41.400,consecutive_dot_R2,Track Master 100,0.999000s,101,25,0.247525,1.000000,4.039998,0.247525,0,25
20,00:06:42.240,consecutive_dot_R,Track Master 100,0.577000s,59,25,0.423729,1.000000,2.359999,0.423729,0,25
21,00:06:43.659,consecutive_dot_L,Track Master 100,1.318000s,133,25,0.187970,1.000000,5.319996,0.187970,0,8
22,00:06:44.902,consecutive_dot_L2,Track Master 100,0.991000s,100,25,0.250000,1.000000,3.999997,0.250000,0,25
23,00:06:46.122,consecutive_dot_R2,Track Master 100,0.962000s,97,25,0.257732,1.000000,3.879997,0.257732,0,25
24,00:06:47.023,consecutive_dot_R,Track Master 100,0.641000s,65,25,0.384615,1.000000,2.599999,0.384616,0,25
25,00:06:48.330,consecutive_dot_L,Track Master 100,1.046000s,106,25,0.235849,1.000000,4.239997,0.235849,0,25
26,00:06:49.593,consecutive_dot_L2,Track Master 100,1.001000s,101,25,0.247525,1.000000,4.039998,0.247525,0,25
27,00:06:52.452,consecutive_dot_R2,Track Master 100,2.600000s,261,25,0.095785,1.000000,10.439992,0.095786,0,25
28,00:06:54.020,consecutive_dot_R,Track Master 100,1.309000s,132,25,0.189394,1.000000,5.279996,0.189394,0,25
29,00:06:55.730,consecutive_dot_L,Track Master 100,1.447000s,146,25,0.171233,1.000000,5.839996,0.171233,0,25
30,00:06:57.051,consecutive_dot_L2,Track Master 100,1.061000s,107,25,0.233645,1.000000,4.279997,0.233645,0,25
31,00:06:58.236,consecutive_dot_R2,Track Master 100,0.929000s,94,25,0.265957,1.000000,3.759998,0.265958,0,25
32,00:06:59.882,consecutive_dot_R,Track Master 100,1.379000s,139,25,0.179856,1.000000,5.559996,0.179856,0,25
33,00:07:01.721,consecutive_dot_L,Track Master 100,1.579000s,159,25,0.157233,1.000000,6.359995,0.157233,0,25
34,00:07:02.663,consecutive_dot_L2,Track Master 100,0.677000s,69,25,0.362319,1.000000,2.759999,0.362319,0,25
35,00:07:04.378,consecutive_dot_R2,Track Master 100,1.461000s,147,25,0.170068,1.000000,5.879996,0.170068,0,25
36,00:07:05.899,consecutive_dot_R,Track Master 100,1.260000s,127,25,0.196850,1.000000,5.079997,0.196851,0,25
37,00:07:07.751,consecutive_dot_L,Track Master 100,1.590000s,160,25,0.156250,1.000000,6.399995,0.156250,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5064,945,37.800484,202.550034,

Kills:,37
Deaths:,0
Fight Time:,46.945
Time Remaining:,0.0
Avg TTK:,1.621612
Damage Done:,37.800484
Total Overshots:,875
Damage Taken:,0.0
Hit Count:,945
Miss Count:,4119
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,37.800484
Scenario:,Consecutive Tracking
Hash:,a73b057bbe336cc05bf45d171f7c9070
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,00:06:11.079
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.3498
Horiz Sens:,0.35
Vert Sens:,0.35
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,197.682159
Resolution Scale:,100.0
