Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:11:48.110,test,pistol,4.703000s,8,3,0.375000,3000.000000,16000.000000,0.187500,0,0
2,14:11:53.213,test,pistol,3.608000s,6,3,0.500000,3000.000000,12000.000000,0.250000,0,0
3,14:12:00.802,test,pistol,6.397000s,8,3,0.375000,3000.000000,16000.000000,0.187500,0,0
4,14:12:12.754,test,pistol,11.178000s,11,3,0.272727,3000.000000,22000.000000,0.136364,0,0
5,14:12:15.276,test,pistol,2.007000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
6,14:12:21.692,test,pistol,5.198000s,9,3,0.333333,3000.000000,18000.000000,0.166667,0,0
7,14:12:27.686,test,pistol,5.109000s,7,3,0.428571,3000.000000,14000.000000,0.214286,0,0
8,14:12:30.525,test,pistol,1.464000s,4,3,0.750000,3000.000000,8000.000000,0.375000,0,0
9,14:12:33.973,test,pistol,2.461000s,5,3,0.600000,3000.000000,10000.000000,0.300000,0,0
10,14:12:37.928,test,pistol,1.655000s,4,3,0.750000,3000.000000,8000.000000,0.375000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,74,31,31000.0,148000.0,

Kills:,10
Deaths:,0
Fight Time:,43.779999
Time Remaining:,0.0
Avg TTK:,5.999966
Damage Done:,31000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,31
Miss Count:,43
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,8
Distance Traveled:,0.0
MBS Points:,0.0
Score:,6.472394
Scenario:,Pasu Voltaic Small 3ShotR5
Hash:,040385160480264c57f99f1af3b88ee0
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:11:42.985
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,203.270081
Resolution Scale:,100.0
