Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:42:16.836,Quaker Bot Long Strafes,MGV2,1.600000s,1240,1000,0.806452,99.999046,247.997360,0.403226,0,250
2,16:42:19.369,Quaker Bot Long Strafes,MGV2,2.187000s,1650,1000,0.606061,99.999046,330.001740,0.303026,0,250
3,16:42:21.703,Quaker Bot Long Strafes,MGV2,1.990000s,1500,1000,0.666667,99.999046,299.999908,0.333330,0,250
4,16:42:24.213,Quaker Bot Long Strafes,MGV2,2.162000s,1630,1000,0.613497,99.999046,326.001495,0.306744,0,250
5,16:42:26.610,Quaker Bot Long Strafes,MGV2,2.053000s,1550,1000,0.645161,99.999046,310.000519,0.322577,0,250
6,16:42:28.928,Quaker Bot Long Strafes,MGV2,1.974000s,1490,1000,0.671141,99.999046,297.999786,0.335568,0,250
7,16:42:31.276,Quaker Bot Long Strafes,MGV2,1.999000s,1510,1000,0.662252,99.999046,302.000031,0.331123,0,250
8,16:42:34.329,Quaker Bot Long Strafes,MGV2,2.709000s,2040,1000,0.490196,99.999046,408.006500,0.245092,0,250
9,16:42:37.784,Quaker Bot Long Strafes,MGV2,3.106000s,2340,1000,0.427350,99.999046,468.010162,0.213669,0,250
10,16:42:39.985,Quaker Bot Long Strafes,MGV2,1.856000s,1400,1000,0.714286,99.999046,279.998688,0.357141,0,250
11,16:42:42.806,Quaker Bot Long Strafes,MGV2,2.477000s,1870,1000,0.534759,99.999046,374.004425,0.267374,0,250
12,16:42:45.406,Quaker Bot Long Strafes,MGV2,2.253000s,1700,1000,0.588235,99.999046,340.002350,0.294113,0,250
13,16:42:48.013,Quaker Bot Long Strafes,MGV2,2.260000s,1700,1000,0.588235,99.999046,340.002350,0.294113,0,250
14,16:42:49.973,Quaker Bot Long Strafes,MGV2,1.613000s,1220,1000,0.819672,99.999046,243.997421,0.409837,0,250
15,16:42:52.344,Quaker Bot Long Strafes,MGV2,2.024000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
16,16:42:55.481,Quaker Bot Long Strafes,MGV2,2.787000s,2100,1000,0.476190,99.999046,420.007233,0.238089,0,250
17,16:42:57.841,Quaker Bot Long Strafes,MGV2,2.014000s,1520,1000,0.657895,99.999046,304.000153,0.328944,0,250
18,16:43:00.400,Quaker Bot Long Strafes,MGV2,2.213000s,1670,1000,0.598802,99.999046,334.001984,0.299397,0,250
19,16:43:02.773,Quaker Bot Long Strafes,MGV2,2.026000s,1530,1000,0.653595,99.999046,306.000275,0.326794,0,250
20,16:43:05.053,Quaker Bot Long Strafes,MGV2,1.933000s,1460,1000,0.684932,99.999046,291.999420,0.342463,0,250
21,16:43:07.785,Quaker Bot Long Strafes,MGV2,2.398000s,1810,1000,0.552486,99.999046,362.003693,0.276238,0,230
22,16:43:10.331,Quaker Bot Long Strafes,MGV2,2.210000s,1670,1000,0.598802,99.999046,334.001984,0.299397,0,250
23,16:43:12.800,Quaker Bot Long Strafes,MGV2,2.121000s,1600,1000,0.625000,99.999046,320.001129,0.312496,0,250
24,16:43:15.134,Quaker Bot Long Strafes,MGV2,1.987000s,1500,1000,0.666667,99.999046,299.999908,0.333330,0,250
25,16:43:17.416,Quaker Bot Long Strafes,MGV2,1.932000s,1460,1000,0.684932,99.999046,291.999420,0.342463,0,250
26,16:43:19.747,Quaker Bot Long Strafes,MGV2,1.986000s,1500,1000,0.666667,99.999046,299.999908,0.333330,0,250
27,16:43:22.680,Quaker Bot Long Strafes,MGV2,2.587000s,1950,1000,0.512821,99.999046,390.005402,0.256404,0,250
28,16:43:25.097,Quaker Bot Long Strafes,MGV2,2.068000s,1560,1000,0.641026,99.999046,312.000641,0.320509,0,250
29,16:43:28.308,Quaker Bot Long Strafes,MGV2,2.864000s,2160,1000,0.462963,99.999046,432.007965,0.231475,0,250
30,16:43:31.080,Quaker Bot Long Strafes,MGV2,2.424000s,1830,1000,0.546448,99.999046,366.003937,0.273219,0,250
31,16:43:33.881,Quaker Bot Long Strafes,MGV2,2.452000s,1850,1000,0.540541,99.999046,370.004181,0.270265,0,250

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,52250,31220,3122.695557,10455.498047,

Kills:,31
Deaths:,0
Fight Time:,68.264999
Time Remaining:,0.0
Avg TTK:,3.440867
Damage Done:,3122.695557
Total Overshots:,7730
Damage Taken:,0.0
Hit Count:,31220
Miss Count:,21030
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,9368.086914
Scenario:,kinTargetSwitch No Reload SLOW MORE HEALTH
Hash:,e8a9299c820f93afcc5d9a43e84233d6
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:42:14.887
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,320.21463
Resolution Scale:,100.0
