Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,04:21:48.914,air1_mixed_short_dash,LG,11.989000s,1081,468,0.432932,4.680012,10.810152,0.432928,0,25
2,04:22:03.248,air_close_short,LG,14.046000s,1265,572,0.452174,5.720036,12.650194,0.452170,0,25
3,04:22:17.579,air1_far_short,LG,14.046000s,1265,623,0.492490,6.230048,12.650194,0.492486,0,25
4,04:22:31.916,air1F_close_short,LG,14.047001s,1265,412,0.325692,4.119999,12.650194,0.325687,0,25
5,04:22:45.974,air1F_far_short,LG,14.051001s,1265,485,0.383399,4.850016,12.650194,0.383395,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6141,2560,25.600491,61.405701,

Kills:,5
Deaths:,0
Fight Time:,68.179001
Time Remaining:,0.0
Avg TTK:,15.407396
Damage Done:,25.600491
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2560
Miss Count:,3581
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2560.049072
Scenario:,VT Plaza Novice
Hash:,7faa0eaac5d5654c3105b0ff5b6c083c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,04:21:36.637
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,278.140656
Resolution Scale:,100.0
