Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,01:53:42.808,air1_mixed_short_dash,LG,11.993001s,1081,577,0.533765,5.770037,10.810152,0.533761,0,25
2,01:53:57.144,air_close_short,LG,14.048000s,1265,645,0.509881,6.450053,12.650194,0.509878,0,25
3,01:54:11.479,air1_far_short,LG,14.048000s,1262,712,0.564184,7.120068,12.620193,0.564181,0,25
4,01:54:25.815,air1F_close_short,LG,14.043000s,1265,622,0.491700,6.220047,12.650194,0.491696,0,25
5,01:54:39.870,air1F_far_short,LG,14.047001s,1238,576,0.465267,5.760037,12.380188,0.465262,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6111,3132,31.320621,61.105751,

Kills:,5
Deaths:,0
Fight Time:,68.179001
Time Remaining:,0.0
Avg TTK:,15.407396
Damage Done:,31.320621
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,3132
Miss Count:,2979
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3132.062256
Scenario:,VT Plaza Novice
Hash:,7faa0eaac5d5654c3105b0ff5b6c083c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,01:53:30.529
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,275.13028
Resolution Scale:,100.0
