Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:28:02.605,air1_mixed_short_dash,LG,11.988001s,1081,521,0.481961,5.210024,10.810152,0.481957,0,25
2,15:28:16.941,air_close_short,LG,14.048000s,1265,655,0.517787,6.550055,12.650194,0.517783,0,25
3,15:28:31.276,air1_far_short,LG,14.045001s,1264,576,0.455696,5.760037,12.640194,0.455692,0,26
4,15:28:45.606,air1F_close_short,LG,14.038001s,1264,473,0.374209,4.730013,12.640194,0.374204,0,25
5,15:28:59.664,air1F_far_short,LG,14.054001s,1265,710,0.561265,7.100068,12.650194,0.561262,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6139,2935,29.350576,61.385704,

Kills:,5
Deaths:,0
Fight Time:,68.172997
Time Remaining:,0.0
Avg TTK:,15.407396
Damage Done:,29.350576
Total Overshots:,101
Damage Taken:,0.0
Hit Count:,2935
Miss Count:,3204
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2935.057617
Scenario:,VT Plaza Novice
Hash:,7faa0eaac5d5654c3105b0ff5b6c083c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:27:50.329
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,282.152832
Resolution Scale:,100.0
