Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:18:20.378,Quaker Bot Fast Strafes,LG,5.920000s,86,50,0.581395,300.000000,516.000000,0.581395,0,5
2,22:18:28.449,Quaker Bot Fast Strafes,LG,4.735000s,69,50,0.724638,300.000000,414.000000,0.724638,0,3
3,22:18:37.008,Quaker Bot Fast Strafes,LG,7.605000s,107,50,0.467290,300.000000,642.000000,0.467290,0,5
4,22:18:44.294,Quaker Bot Fast Strafes,LG,6.270000s,91,50,0.549451,300.000000,546.000000,0.549451,0,4
5,22:18:51.512,Quaker Bot Fast Strafes,LG,6.059000s,88,50,0.568182,300.000000,528.000000,0.568182,0,5
6,22:18:57.856,Quaker Bot Fast Strafes,LG,5.922000s,86,50,0.581395,300.000000,516.000000,0.581395,0,5
7,22:19:04.896,Quaker Bot Fast Strafes,LG,6.622000s,96,50,0.520833,300.000000,576.000000,0.520833,0,5
8,22:19:11.867,Quaker Bot Fast Strafes,LG,6.549000s,95,50,0.526316,300.000000,570.000000,0.526316,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,754,409,2454.0,4524.0,

Kills:,8
Deaths:,0
Fight Time:,49.681999
Time Remaining:,0.0
Avg TTK:,11.478463
Damage Done:,2454.0
Total Overshots:,37
Damage Taken:,0.0
Hit Count:,409
Miss Count:,345
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,7362.0
Scenario:,Close Long Strafes Easy
Hash:,a8218401c0f0d1a0e5dac89f742f7afb
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:18:13.800
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,358.095703
Resolution Scale:,100.0
