Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,11:39:56.743,air1_far_long,LG,13.889001s,1390,553,0.397842,721.111938,1812.536499,0.397847,0,25
2,11:40:11.788,air1_far_long,LG,14.787001s,1426,553,0.387798,721.111938,1859.478882,0.387803,0,25
3,11:40:28.554,air1_far_long,LG,15.847001s,1586,553,0.348676,721.111938,2068.111816,0.348681,0,25
4,11:40:41.779,air1_far_long,LG,12.970000s,1234,553,0.448136,721.111938,1609.119507,0.448141,0,25
5,11:40:57.021,air1_far_long,LG,14.977000s,1460,553,0.378767,721.111938,1903.813354,0.378772,0,25
6,11:41:11.930,air1_far_long,LG,14.652000s,1421,553,0.389163,721.111938,1852.959106,0.389168,0,25
7,11:41:22.829,air1_far_long,LG,10.667001s,1012,553,0.546443,721.111938,1319.641479,0.546445,0,22
8,11:41:36.941,air1_far_long,LG,13.588000s,1357,553,0.407517,721.111938,1769.505981,0.407522,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,10886,4424,5769.049316,14194.536133,

Kills:,8
Deaths:,0
Fight Time:,111.376999
Time Remaining:,0.0
Avg TTK:,14.374852
Damage Done:,5769.049316
Total Overshots:,172
Damage Taken:,0.0
Hit Count:,4424
Miss Count:,6462
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5769.049316
Scenario:,gp far long strafes 5m
Hash:,47b628255deab5d406c5062c6defaff9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:39:41.924
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,198.859116
Resolution Scale:,100.0
