Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:05:23.470,Thin very long strafe,Track Master 100,6.670001s,668,200,0.299401,200.000000,668.000000,0.299401,0,26
2,15:05:29.879,Thin very long strafe,Track Master 100,6.141000s,391,200,0.511509,200.000000,391.000000,0.511509,0,25
3,15:05:41.202,Thin very long strafe,Track Master 100,11.064000s,904,200,0.221239,200.000000,904.000000,0.221239,0,25
4,15:05:50.803,Thin very long strafe,Track Master 100,9.337001s,765,200,0.261438,200.000000,765.000000,0.261438,0,25
5,15:05:59.988,Thin very long strafe,Track Master 100,8.928000s,592,200,0.337838,200.000000,592.000000,0.337838,0,25
6,15:06:08.250,Thin very long strafe,Track Master 100,8.002001s,568,200,0.352113,200.000000,568.000000,0.352113,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4342,1320,1320.0,4342.0,

Kills:,6
Deaths:,0
Fight Time:,50.141998
Time Remaining:,0.0
Avg TTK:,9.999943
Damage Done:,1320.0
Total Overshots:,151
Damage Taken:,0.0
Hit Count:,1320
Miss Count:,3022
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1320.0
Scenario:,Thin Aiming Long slow
Hash:,1752e8053ba5d8143a4c0f33b2b03300
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:05:14.806
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,213.36261
Resolution Scale:,100.0
