Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,11:30:25.388,Thin very long strafe,Track Master 100,8.177000s,819,200,0.244200,200.000000,819.000000,0.244200,0,25
2,11:30:32.767,Thin very long strafe,Track Master 100,7.124001s,478,200,0.418410,200.000000,478.000000,0.418410,0,25
3,11:30:41.709,Thin very long strafe,Track Master 100,8.679001s,591,200,0.338409,200.000000,591.000000,0.338409,0,25
4,11:30:52.438,Thin very long strafe,Track Master 100,10.472000s,866,200,0.230947,200.000000,866.000000,0.230947,0,25
5,11:31:02.572,Thin very long strafe,Track Master 100,9.874001s,697,200,0.286944,200.000000,697.000000,0.286944,0,25
6,11:31:11.691,Thin very long strafe,Track Master 100,8.860001s,683,200,0.292826,200.000000,683.000000,0.292826,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4183,1212,1212.0,4183.0,

Kills:,6
Deaths:,0
Fight Time:,53.186001
Time Remaining:,0.0
Avg TTK:,9.999943
Damage Done:,1212.0
Total Overshots:,150
Damage Taken:,0.0
Hit Count:,1212
Miss Count:,2971
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1212.0
Scenario:,Thin Aiming Long slow
Hash:,1752e8053ba5d8143a4c0f33b2b03300
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:30:15.150
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,184.731308
Resolution Scale:,100.0
