Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:20:01.478,High,B180T LG,0.682000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
2,17:20:02.781,Low,B180T LG,0.949000s,17,8,0.470588,8.000000,17.000000,0.470588,0,5
3,17:20:05.499,Mid,B180T LG,2.367000s,41,19,0.463415,19.000000,41.000000,0.463415,0,5
4,17:20:06.799,Mid,B180T LG,0.948000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
5,17:20:08.097,Mid,B180T LG,1.007000s,18,8,0.444444,8.000000,18.000000,0.444444,0,4
6,17:20:09.463,High,B180T LG,1.006000s,18,8,0.444444,8.000000,18.000000,0.444444,0,5
7,17:20:10.703,Mid,B180T LG,0.888000s,16,6,0.375000,6.000000,16.000000,0.375000,0,5
8,17:20:11.295,Mid,B180T LG,0.236000s,5,5,1.000000,5.000000,5.000000,1.000000,0,5
9,17:20:11.978,Low,B180T LG,0.354000s,7,5,0.714286,5.000000,7.000000,0.714286,0,4
10,17:20:13.014,Low,B180T LG,0.712000s,13,6,0.461538,6.000000,13.000000,0.461538,0,5
11,17:20:14.372,Mid,B180T LG,1.006000s,18,7,0.388889,7.000000,18.000000,0.388889,0,5
12,17:20:15.145,Mid,B180T LG,0.415000s,8,6,0.750000,6.000000,8.000000,0.750000,0,5
13,17:20:16.266,Low,B180T LG,0.770000s,14,7,0.500000,7.000000,14.000000,0.500000,0,5
14,17:20:17.038,High,B180T LG,0.413000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
15,17:20:19.106,Mid,B180T LG,1.716000s,30,14,0.466667,14.000000,30.000000,0.466667,0,5
16,17:20:20.646,High,B180T LG,1.184000s,21,13,0.619048,13.000000,21.000000,0.619048,0,5
17,17:20:21.295,Mid,B180T LG,0.296000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
18,17:20:22.422,High,B180T LG,0.769000s,14,7,0.500000,7.000000,14.000000,0.500000,0,5
19,17:20:23.426,High,B180T LG,0.652000s,12,6,0.500000,6.000000,12.000000,0.500000,0,5
20,17:20:25.081,Mid,B180T LG,1.300000s,23,11,0.478261,11.000000,23.000000,0.478261,0,5
21,17:20:26.206,Mid,B180T LG,0.768000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
22,17:20:27.093,Low,B180T LG,0.531000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
23,17:20:27.802,Low,B180T LG,0.358000s,7,5,0.714286,5.000000,7.000000,0.714286,0,5
24,17:20:30.822,Low,B180T LG,2.661000s,46,14,0.304348,14.000000,46.000000,0.304348,0,5
25,17:20:31.885,Mid,B180T LG,0.710000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
