Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,19:23:27.403,air1_far_short,Track Master 100,10.091001s,971,140,0.144181,1.399999,9.710127,0.144179,0,25
2,19:23:39.074,air1F_close_long,Track Master 100,11.381001s,1095,124,0.113242,1.239999,10.950155,0.113240,0,25
3,19:23:50.637,air1F_close_short 7,Track Master 100,11.295000s,1085,202,0.186175,2.019999,10.850153,0.186172,0,25
4,19:24:02.202,air_close_short,Track Master 100,11.299001s,1085,247,0.227650,2.469998,10.850153,0.227646,0,25
5,19:24:13.610,air1F_far_short,Track Master 100,11.396001s,1095,137,0.125114,1.369999,10.950155,0.125112,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5331,850,8.500099,53.30706,

Kills:,5
Deaths:,0
Fight Time:,55.462002
Time Remaining:,0.0
Avg TTK:,11.7839
Damage Done:,8.500099
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,850
Miss Count:,4481
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,850.009888
Scenario:,VT Air Intermediate Small
Hash:,e01c114a631af359f9c5a8eb9004ee6c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,19:23:17.043
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,205.073578
Resolution Scale:,100.0
