Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:00:03.413,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,23:00:04.473,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,23:00:05.037,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,23:00:06.266,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,23:00:06.647,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,23:00:07.716,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,23:00:08.550,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,23:00:11.310,Low,b180 pistol,2.262000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
9,23:00:15.967,Low,b180 pistol,2.956000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
10,23:00:16.692,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,23:00:17.274,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,23:00:18.183,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,23:00:18.611,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,23:00:20.709,Mid,b180 pistol,1.218000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
15,23:00:25.777,High,b180 pistol,4.406000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
16,23:00:26.827,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,23:00:28.173,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
18,23:00:29.790,Mid,b180 pistol,0.475000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
19,23:00:30.845,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
20,23:00:32.718,High,b180 pistol,1.350000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
21,23:00:35.095,Mid,b180 pistol,1.356000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
22,23:00:36.666,High,b180 pistol,0.472000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
23,23:00:37.298,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,23:00:38.528,Low,b180 pistol,0.357000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
25,23:00:39.256,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,23:00:39.788,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,23:00:40.960,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
28,23:00:41.297,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
29,23:00:44.092,Low,b180 pistol,2.458000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
30,23:00:44.440,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
31,23:00:47.373,High,b180 pistol,2.236000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
32,23:00:48.076,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
33,23:00:48.608,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
34,23:00:49.291,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
35,23:00:49.905,Low,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
36,23:00:50.679,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
37,23:00:51.229,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
38,23:00:52.113,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
39,23:00:54.388,Mid,b180 pistol,1.815000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
40,23:00:55.629,Mid,b180 pistol,0.803000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
41,23:00:56.718,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
42,23:00:58.145,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
43,23:00:58.976,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
44,23:01:00.442,High,b180 pistol,0.803000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
45,23:01:00.985,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,74,45,2250.0,9250.0,

Kills:,45
Deaths:,0
Fight Time:,22.969
Time Remaining:,0.0
Avg TTK:,1.568617
Damage Done:,2250.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,45
Miss Count:,29
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,5
Distance Traveled:,0.0
MBS Points:,0.0
Score:,45.0
Scenario:,B180 Voltaic Intermediate Barriers
Hash:,c81d7fc5d661e76cc15847c2a06aac53
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,23:00:02.253
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,244.106827
Resolution Scale:,100.0
