Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:44:21.485,regen_dot,Poke-Drill,3.225000s,327,120,0.366972,120.000000,327.000000,0.366972,0,25
2,22:44:24.599,regen_dot,Poke-Drill,2.853000s,286,97,0.339161,97.000000,286.000000,0.339161,0,26
3,22:44:27.823,regen_dot,Poke-Drill,2.957000s,297,103,0.346801,103.000000,297.000000,0.346801,0,25
4,22:44:31.467,regen_dot,Poke-Drill,3.380000s,339,125,0.368732,125.000000,339.000000,0.368732,0,25
5,22:44:33.895,regen_dot,Poke-Drill,2.168000s,218,95,0.435780,95.000000,218.000000,0.435780,0,25
6,22:44:36.039,regen_dot,Poke-Drill,1.883000s,189,86,0.455026,86.000000,189.000000,0.455026,0,25
7,22:44:42.899,regen_dot,Poke-Drill,6.606000s,659,196,0.297420,196.000000,659.000000,0.297420,0,24
8,22:44:45.154,regen_dot,Poke-Drill,2.001000s,201,94,0.467662,94.000000,201.000000,0.467662,0,25
9,22:44:54.361,regen_dot,Poke-Drill,8.949000s,896,308,0.343750,308.000000,896.000000,0.343750,0,25
10,22:44:56.365,regen_dot,Poke-Drill,1.738000s,175,90,0.514286,90.000000,175.000000,0.514286,0,25
11,22:45:04.448,regen_dot,Poke-Drill,7.821001s,783,265,0.338442,265.000000,783.000000,0.338442,0,26
12,22:45:17.313,regen_dot,Poke-Drill,12.595000s,1261,370,0.293418,370.000000,1261.000000,0.293418,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,5657,1949,1949.0,5657.0,

Kills:,12
Deaths:,0
Fight Time:,56.176998
Time Remaining:,0.0
Avg TTK:,4.999971
Damage Done:,1949.0
Total Overshots:,301
Damage Taken:,0.0
Hit Count:,1949
Miss Count:,3708
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,12.0
Scenario:,tamTargetSwitch Control
Hash:,3e539685ecb41045d18697e346a23497
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:44:17.991
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,157.930359
Resolution Scale:,100.0
