Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,04:23:16.526,air1_far_short,Track Master 100,9.990001s,851,610,0.716804,6.100045,8.510099,0.716801,0,25
2,04:23:28.297,air1F_close_long,Track Master 100,11.465000s,975,558,0.572308,5.580033,9.750128,0.572304,0,25
3,04:23:40.177,air1F_close_short 7,Track Master 100,11.582001s,985,466,0.473096,4.660012,9.850130,0.473091,0,25
4,04:23:51.947,air_close_short,Track Master 100,11.470000s,976,689,0.705943,6.890063,9.760128,0.705940,0,25
5,04:24:03.419,air1F_far_long,Track Master 100,11.458000s,975,566,0.580513,5.660035,9.750128,0.580509,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4762,2889,28.890566,47.618015,

Kills:,5
Deaths:,0
Fight Time:,55.965
Time Remaining:,0.0
Avg TTK:,13.453203
Damage Done:,28.890566
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2889
Miss Count:,1873
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,2889.056641
Scenario:,VT Air Novice
Hash:,7327a375295bccc0ef63fca4c9801b8b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,04:23:06.233
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,263.270569
Resolution Scale:,100.0
