Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:18:56.868,air1_mixed_short_dash,LG,11.989000s,1201,292,0.243131,2.919998,12.010180,0.243127,0,25
2,15:19:10.971,air_close_short,LG,13.843000s,1385,352,0.254152,3.519997,13.850222,0.254147,0,25
3,15:19:25.069,air1_far_short,LG,13.844001s,1385,282,0.203610,2.819998,13.850222,0.203607,0,25
4,15:19:39.173,air1F_close_short,LG,13.849001s,1385,312,0.225271,3.119998,13.850222,0.225267,0,25
5,15:19:53.023,air1F_far_short,LG,13.846001s,1385,222,0.160289,2.219998,13.850222,0.160286,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6741,1460,14.600239,67.405991,

Kills:,5
Deaths:,0
Fight Time:,67.371002
Time Remaining:,0.0
Avg TTK:,13.679906
Damage Done:,14.600239
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,1460
Miss Count:,5281
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1481.614624
Scenario:,VT Plaza Intermediate Thin
Hash:,8e2d34b5a9cb555bdea565369ee464b8
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:18:44.620
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,250.126663
Resolution Scale:,100.0
