Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:33:24.074,test,Poke-Drill,1.585000s,114,57,0.500000,57.000000,114.000000,0.500000,0,25
2,20:33:27.775,test,Poke-Drill,3.330000s,234,77,0.329060,77.000000,234.000000,0.329060,0,25
3,20:33:29.768,test,Poke-Drill,1.628000s,115,55,0.478261,55.000000,115.000000,0.478261,0,24
4,20:33:31.859,test,Poke-Drill,1.730000s,122,63,0.516393,63.000000,122.000000,0.516393,0,25
5,20:33:33.054,test,Poke-Drill,0.858000s,61,40,0.655738,40.000000,61.000000,0.655738,0,22
6,20:33:35.402,test,Poke-Drill,1.988000s,140,57,0.407143,57.000000,140.000000,0.407143,0,25
7,20:33:36.800,test,Poke-Drill,1.030000s,73,44,0.602740,44.000000,73.000000,0.602740,0,25
8,20:33:38.132,test,Poke-Drill,0.959000s,68,40,0.588235,40.000000,68.000000,0.588235,0,25
9,20:33:39.916,test,Poke-Drill,1.416000s,100,51,0.510000,51.000000,100.000000,0.510000,0,25
10,20:33:44.127,test,Poke-Drill,3.843000s,270,114,0.422222,114.000000,270.000000,0.422222,0,25
11,20:33:51.730,test,Poke-Drill,7.227000s,507,162,0.319527,162.000000,507.000000,0.319527,0,25
12,20:34:02.229,test,Poke-Drill,10.124001s,710,248,0.349296,248.000000,710.000000,0.349296,0,25
13,20:34:05.077,test,Poke-Drill,2.476000s,174,78,0.448276,78.000000,174.000000,0.448276,0,25
14,20:34:06.489,test,Poke-Drill,1.044000s,74,48,0.648649,48.000000,74.000000,0.648649,0,25
15,20:34:10.084,test,Poke-Drill,3.223000s,227,83,0.365639,83.000000,227.000000,0.365639,0,25
16,20:34:12.844,test,Poke-Drill,2.642000s,186,88,0.473118,88.000000,186.000000,0.473118,0,6

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3824,1507,1507.0,3824.0,

Kills:,16
Deaths:,0
Fight Time:,45.103001
Time Remaining:,0.0
Avg TTK:,5.35713
Damage Done:,1507.0
Total Overshots:,377
Damage Taken:,0.0
Hit Count:,1507
Miss Count:,2317
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,160.0
Scenario:,canTS Logic
Hash:,3a5ac36a511da043675a77917f5a5e2b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:33:22.115
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,270.671783
Resolution Scale:,100.0
