Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:35:11.386,air1_far_short,Track Master 100,9.987000s,961,416,0.432882,4.160000,9.610125,0.432877,0,25
2,02:35:22.953,air1F_close_long,Track Master 100,11.294001s,1085,481,0.443318,4.810015,10.850153,0.443313,0,25
3,02:35:34.515,air1F_close_short 7,Track Master 100,11.296000s,1085,394,0.363134,3.939997,10.850153,0.363128,0,25
4,02:35:46.080,air_close_short,Track Master 100,11.299001s,1085,447,0.411982,4.470007,10.850153,0.411976,0,25
5,02:35:57.390,air1F_far_short,Track Master 100,11.301001s,1086,332,0.305709,3.319997,10.860153,0.305704,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5302,2070,20.700378,53.017109,

Kills:,5
Deaths:,0
Fight Time:,55.176998
Time Remaining:,0.0
Avg TTK:,11.718796
Damage Done:,20.700378
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2070
Miss Count:,3232
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,2070.037842
Scenario:,VT Air Intermediate
Hash:,6c8a32e397f020abbfa5cc2b07879fab
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,02:35:01.130
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,194.658813
Resolution Scale:,100.0
