Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:25:30.435,air1_mixed_short_dash,LG,11.990001s,1081,526,0.486586,5.260026,10.810152,0.486582,0,25
2,15:25:44.770,air_close_short,LG,14.047001s,1265,644,0.509091,6.440053,12.650194,0.509087,0,25
3,15:25:59.103,air1_far_short,LG,14.045001s,1265,620,0.490119,6.200047,12.650194,0.490115,0,25
4,15:26:13.439,air1F_close_short,LG,14.050000s,1265,455,0.359684,4.550009,12.650194,0.359679,0,25
5,15:26:27.498,air1F_far_short,LG,14.055000s,1265,606,0.479051,6.060044,12.650194,0.479048,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6141,2851,28.510557,61.405701,

Kills:,5
Deaths:,0
Fight Time:,68.186996
Time Remaining:,0.0
Avg TTK:,15.407396
Damage Done:,28.510557
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2851
Miss Count:,3290
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2851.055664
Scenario:,VT Plaza Novice
Hash:,7faa0eaac5d5654c3105b0ff5b6c083c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:25:18.159
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,282.874512
Resolution Scale:,100.0
